Date,Target,Source
31 May 1915,Eoin MacNeill,Tom Clarke
31 May 1915,Thomas Byrne,Tom Clarke
31 May 1915,Frank Fahy,Tom Clarke
31 May 1915,George Irvine,Tom Clarke
31 May 1915,Seán T. O'Kelly,Tom Clarke
31 May 1915,Irish Volunteers,Joseph McGuinness
31 May 1915,Frank Dineen,J.J. Walsh
31 May 1915,J.J. Walsh,L.J. O'Toole
31 May 1915,J.J. Walsh,Michael McCartan
1 June 1915,J.J. Farrelly,Tom Clarke
1 June 1915,John MacBride,Tom Clarke
1 June 1915,Tom Clarke,William O'Leary Curtis
1 June 1915,John MacBride,William O'Leary Curtis
1 June 1915,Thomas Byrne,Tom Clarke
1 June 1915,Frank Fahy,Tom Clarke
1 June 1915,Seán T. O'Kelly,Tom Clarke
1 June 1915,Frank Fahy,Seán T. O'Kelly
1 June 1915,Thomas MacDonagh,Tom Clarke
1 June 1915,Bulmer Hobson,J.J. O'Connell
1 June 1915,Bulmer Hobson,Patrick Ryan
1 June 1915,Bulmer Hobson,Michael O'Hanrahan
1 June 1915,J.J. O'Connell,Patrick Ryan
1 June 1915,J.J. O'Connell,Michael O'Hanrahan
1 June 1915,Michael O'Hanrahan,Patrick Ryan
1 June 1915,B.J. Fagan,Patrick Ryan
1 June 1915,J.J. Walsh,Michael Lynch
1 June 1915,J.J. Walsh,Michael McCartan
1 June 1915,J.J. Walsh,Patrick Walsh
1 June 1915,J.J. Walsh,L.J. O'Toole
2 June 1915,Thomas Byrne,Tom Clarke
2 June 1915,Tom Clarke,William O'Leary Curtis
2 June 1915,Thomas Byrne,William O'Leary Curtis
2 June 1915,Seán T. O'Kelly,Tom Clarke
2 June 1915,Arthur Griffith,Tom Clarke
2 June 1915,John MacBride,Tom Clarke
2 June 1915,John MacBride,Seán T. O'Kelly
2 June 1915,John MacBride,Liam Mellows
2 June 1915,John MacBride,Joseph McGuinness
2 June 1915,John MacBride,Rev. F. Pollard
2 June 1915,John MacBride,Seán MacDiarmada
2 June 1915,John MacBride,Seán Milroy
2 June 1915,Liam Mellows,Tom Clarke
2 June 1915,Joseph McGuinness,Tom Clarke
2 June 1915,Rev. F. Pollard,Tom Clarke
2 June 1915,Seán MacDiarmada,Tom Clarke
2 June 1915,Seán Milroy,Tom Clarke
2 June 1915,Liam Mellows,Seán T. O'Kelly
2 June 1915,Joseph McGuinness,Seán T. O'Kelly
2 June 1915,Rev. F. Pollard,Seán T. O'Kelly
2 June 1915,Seán MacDiarmada,Seán T. O'Kelly
2 June 1915,Seán Milroy,Seán T. O'Kelly
2 June 1915,Joseph McGuinness,Liam Mellows
2 June 1915,Liam Mellows,Rev. F. Pollard
2 June 1915,Liam Mellows,Seán MacDiarmada
2 June 1915,Liam Mellows,Seán Milroy
2 June 1915,Joseph McGuinness,Rev. F. Pollard
2 June 1915,Joseph McGuinness,Seán MacDiarmada
2 June 1915,Joseph McGuinness,Seán Milroy
2 June 1915,Rev. F. Pollard,Seán MacDiarmada
2 June 1915,Rev. F. Pollard,Seán Milroy
2 June 1915,Seán MacDiarmada,Seán Milroy
2 June 1915,Seán O'Hegarty,The O'Rahilly
2 June 1915,James Bolger,Seán O'Hegarty
2 June 1915,James Bolger,The O'Rahilly
2 June 1915,Con Collins,Patrick O'Keeffe
2 June 1915,Bulmer Hobson,Thomas MacDonagh
2 June 1915,Bulmer Hobson,Piaras Béaslaí
2 June 1915,Bulmer Hobson,Éamonn Ceannt
2 June 1915,Bulmer Hobson,John Fitzgibbon
2 June 1915,Bulmer Hobson,Patrick Ryan
2 June 1915,Bulmer Hobson,Con Colbert
2 June 1915,Bulmer Hobson,L. Moran
2 June 1915,Piaras Béaslaí,Thomas MacDonagh
2 June 1915,Thomas MacDonagh,Éamonn Ceannt
